"id","model_run_batch","task_id","plan_start_time","plan_end_time","jockey_id","jockey_no","jockey_name","equipment_id","equipment_code","equipment_desc","equipment_speed_range","remark","del_flag","create_id","create_name","create_time","update_id","update_name","update_time"
"1","2025-09-11_TSY_0401_COMPLEX_C","1001","9/3/2024 08:30:00","9/3/2024 10:30:00","101","J001","李师傅","1","EQP001","数控下料机A","1-4","为订单ORD001下料工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"2","2025-09-11_TSY_0401_COMPLEX_C","1002","9/3/2024 11:00:00","9/3/2024 12:30:00","102","J002","王师傅","2","EQP002","数控粗加工机A","1-3","为订单ORD001粗加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"3","2025-09-11_TSY_0401_COMPLEX_C","1003","9/3/2024 13:00:00","9/3/2024 14:15:00","103","J003","刘师傅","3","EQP003","精密加工中心A","1-4","为订单ORD001精加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"4","2025-09-11_TSY_0401_COMPLEX_C","1004","9/3/2024 17:00:00","9/3/2024 17:30:00","106","J006","郑师傅","6","EQP006","检验包装设备A","1-2","为订单ORD001检验包装工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"5","2025-09-11_TSY_0401_COMPLEX_C","2001","9/3/2024 08:30:00","9/3/2024 10:30:00","101","J001","李师傅","7","EQP007","数控下料机B","1-4","为订单ORD002下料工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"6","2025-09-11_TSY_0401_COMPLEX_C","2002","9/3/2024 11:00:00","9/3/2024 12:30:00","102","J002","王师傅","8","EQP008","数控粗加工机B","1-3","为订单ORD002粗加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"7","2025-09-11_TSY_0401_COMPLEX_C","2003","9/3/2024 13:00:00","9/3/2024 14:15:00","103","J003","刘师傅","9","EQP009","精密加工中心B","1-4","为订单ORD002精加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"8","2025-09-11_TSY_0401_COMPLEX_C","2004","9/3/2024 17:00:00","9/3/2024 17:30:00","106","J006","郑师傅","12","EQP012","检验包装设备B","1-2","为订单ORD002检验包装工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"9","2025-09-11_TSY_0401_COMPLEX_C","3001","10/3/2024 08:30:00","10/3/2024 10:30:00","101","J001","李师傅","15","EQP015","数控下料机C","1-3","为订单ORD003下料工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"10","2025-09-11_TSY_0401_COMPLEX_C","3002","10/3/2024 11:00:00","10/3/2024 12:30:00","102","J002","王师傅","2","EQP002","数控粗加工机A","1-3","为订单ORD003粗加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"11","2025-09-11_TSY_0401_COMPLEX_C","3003","10/3/2024 13:00:00","10/3/2024 14:15:00","103","J003","刘师傅","16","EQP016","精密加工中心C","1-3","为订单ORD003精加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"12","2025-09-11_TSY_0401_COMPLEX_C","3004","10/3/2024 17:00:00","10/3/2024 17:30:00","106","J006","郑师傅","6","EQP006","检验包装设备A","1-2","为订单ORD003检验包装工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"13","2025-09-11_TSY_0401_COMPLEX_C","4001","11/3/2024 08:30:00","11/3/2024 10:30:00","101","J001","李师傅","1","EQP001","数控下料机A","1-4","为订单ORD004下料工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"14","2025-09-11_TSY_0401_COMPLEX_C","4002","11/3/2024 11:00:00","11/3/2024 12:30:00","102","J002","王师傅","8","EQP008","数控粗加工机B","1-3","为订单ORD004粗加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"15","2025-09-11_TSY_0401_COMPLEX_C","4003","11/3/2024 13:00:00","11/3/2024 14:15:00","103","J003","刘师傅","9","EQP009","精密加工中心B","1-4","为订单ORD004精加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"16","2025-09-11_TSY_0401_COMPLEX_C","4004","11/3/2024 17:00:00","11/3/2024 17:30:00","106","J006","郑师傅","12","EQP012","检验包装设备B","1-2","为订单ORD004检验包装工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"17","2025-09-11_TSY_0401_COMPLEX_C","5001","12/3/2024 08:30:00","12/3/2024 10:30:00","101","J001","李师傅","15","EQP015","数控下料机C","1-3","为订单ORD005下料工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"18","2025-09-11_TSY_0401_COMPLEX_C","5002","12/3/2024 11:00:00","12/3/2024 12:30:00","102","J002","王师傅","2","EQP002","数控粗加工机A","1-3","为订单ORD005粗加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"19","2025-09-11_TSY_0401_COMPLEX_C","5003","12/3/2024 13:00:00","12/3/2024 14:15:00","103","J003","刘师傅","3","EQP003","精密加工中心A","1-4","为订单ORD005精加工工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
"20","2025-09-11_TSY_0401_COMPLEX_C","5004","12/3/2024 17:00:00","12/3/2024 17:30:00","106","J006","郑师傅","6","EQP006","检验包装设备A","1-2","为订单ORD005检验包装工序推荐设备和人员","0","-1","AI_Complex","9/11/2025 10:00:00","-1","AI_Complex","9/11/2025 10:00:00"
